hour	day	value
0	2	1.0
0	3	0.1268679654
0	4	0.0
0	5	0.795969146553
0	6	0.478667505817
0	7	0.487010230814
1	2	0.290689800559
1	3	0.0
1	4	0.179144999936
1	5	1.0
1	6	0.919700008943
1	7	0.774987542961
2	2	0.042535662794
2	3	1.0
2	4	0.0
2	5	0.760976439721
2	6	0.808159683357
2	7	0.333381092673
3	2	1.0
3	3	0.151848783159
3	4	0.915670771954
3	5	0.0
3	6	0.820001685181
3	7	0.835849401058
4	2	1.0
4	3	0.0
4	4	0.30613619662
4	5	0.0729464358605
4	6	0.684902425084
4	7	0.11754919572
5	2	0.475714988899
5	3	1.0
5	4	0.748942710478
5	5	0.562457934443
5	6	0.857484404353
5	7	0.0
6	2	0.070696509886
6	3	0.0
6	4	0.939256579219
6	5	1.0
6	6	0.0691075924117
6	7	0.674251282827
7	2	0.0
7	3	0.276689655171
7	4	1.0
7	5	0.694689655168
7	6	0.175425287358
7	7	0.189149425284
8	2	0.520806599449
8	3	0.567640377793
8	4	1.0
8	5	0.872872912764
8	6	0.0
8	7	0.702028454151
9	2	0.0
9	3	0.620596836367
9	4	0.504486242189
9	5	1.0
9	6	0.118578027381
9	7	0.384454340023
10	2	0.455259075882
10	3	0.0
10	4	0.434271344187
10	5	0.919261081428
10	6	0.526322798992
10	7	1.0
11	2	0.0575071433716
11	3	0.0
11	4	0.0367933664679
11	5	0.494649474552
11	6	0.518484724791
11	7	1.0
12	2	0.0092621912615
12	3	0.0
12	4	1.0
12	5	0.838117479418
12	6	0.226013299556
12	7	0.235449651677
13	2	0.310037036051
13	3	0.955623351362
13	4	1.0
13	5	0.0
13	6	0.419866243905
13	7	0.416096027283
14	2	0.523345634224
14	3	0.623702151611
14	4	0.363037903428
14	5	1.0
14	6	0.0
14	7	0.458296847635
15	2	0.0
15	3	0.264771157638
15	4	0.682740210762
15	5	1.0
15	6	0.426722331724
15	7	0.920149612776
16	2	0.0
16	3	0.653451290404
16	4	0.449183316648
16	5	0.735702437347
16	6	1.0
16	7	0.16484600326
17	2	0.362716715285
17	3	0.0
17	4	1.0
17	5	0.329599867907
17	6	0.643001816281
17	7	0.496383950685
18	2	0.0
18	3	0.579572114643
18	4	0.861955858237
18	5	1.0
18	6	0.118201675356
18	7	0.121967184178
19	2	0.16918946561
19	3	1.0
19	4	0.656673485041
19	5	0.739529532088
19	6	0.184160061365
19	7	0.0
20	2	0.62018402737
20	3	0.23285360387
20	4	0.970555621094
20	5	0.0
20	6	1.0
20	7	0.350206440957
21	2	0.0
21	3	0.228672968938
21	4	1.0
21	5	0.486658611131
21	6	0.132987419145
21	7	0.157281967444
22	2	0.0
22	3	0.352825181069
22	4	0.940761732314
22	5	0.623716390514
22	6	0.996961504118
22	7	1.0
23	2	0.331254966067
23	3	0.901179709603
23	4	0.126574590949
23	5	0.553178029364
23	6	1.0
23	7	0.0
24	2	1.0
24	3	0.760478420679
24	4	0.788223262981
24	5	0.0
24	6	0.86702632203
24	7	0.471128764527
25	2	0.0566012156272
25	3	0.166188399579
25	4	0.974625482971
25	5	0.508755677065
25	6	1.0
25	7	0.0
26	2	0.171296439988
26	3	0.696832614297
26	4	0.0
26	5	1.0
26	6	0.906483751825
26	7	0.485769266582
27	2	0.0
27	3	0.0750034901582
27	4	0.898750523519
27	5	0.450736423288
27	6	1.0
27	7	0.0479024151913
28	2	0.210185614449
28	3	1.0
28	4	0.0
28	5	0.997458747578
28	6	0.56549734714
28	7	0.127131303764
29	2	0.0
29	3	1.0
29	4	0.1253070828
29	5	0.625073526868
29	6	0.389346389399
29	7	0.65816061728
30	2	0.0
30	3	0.607800670822
30	4	0.233588883566
30	5	0.768519405848
30	6	1.0
30	7	0.80551030187
31	2	0.712198978666
31	3	1.0
31	4	0.964901366101
31	5	0.0
31	6	0.034865334268
31	7	0.0462840552682
32	2	0.108789322295
32	3	0.0
32	4	0.951011266614
32	5	1.0
32	6	0.415591355063
32	7	0.428199502038
33	2	0.280122024217
33	3	0.936442114221
33	4	0.0
33	5	1.0
33	6	0.442597413837
33	7	0.660055819587
34	2	0.31253283696
34	3	0.180374378912
34	4	1.0
34	5	0.794526922556
34	6	0.00397796357846
34	7	0.0
35	2	0.390813269242
35	3	0.163192723038
35	4	0.827667967151
35	5	1.0
35	6	0.927295066065
35	7	0.0
36	2	0.894420784953
36	3	0.0
36	4	0.87730935384
36	5	0.528646710989
36	6	0.543552192162
36	7	1.0
37	2	0.142946074236
37	3	0.905688273285
37	4	0.616038774082
37	5	0.0
37	6	0.984837199994
37	7	1.0
38	2	0.132788261915
38	3	0.909410063217
38	4	0.0
38	5	0.662844946231
38	6	1.0
38	7	0.725139378109
39	2	0.277576014201
39	3	0.648193085025
39	4	0.827907431233
39	5	0.0
39	6	0.0292982427575
39	7	1.0
40	2	0.815030404577
40	3	0.951323790677
40	4	0.0
40	5	0.81748588101
40	6	1.0
40	7	0.0633657359909
41	2	0.450307953077
