hour	day	value
0	2	0.124073529412
0	3	-0.0680671002737
0	4	0.0509963487424
0	5	0.0515601363997
0	6	-0.33703125762
0	7	0.0432128277739
1	2	0.116014705882
1	3	0.0293505306453
1	4	-0.392703862661
1	5	0.86227204419
1	6	0.0197705611655
1	7	0.0022349355718
2	2	0.157083333333
2	3	0.777071094871
2	4	0.0602834571886
2	5	0.0356209110214
2	6	0.104123454741
2	7	-0.0563248744039
3	2	0.173004901961
3	3	0.0535652090364
3	4	-0.0705744217593
3	5	0.0273389589364
3	6	0.0978259571873
3	7	-0.0436952857372
4	2	0.176862745098
4	3	-0.00695314297383
4	4	0.0410842536104
4	5	0.113443611997
4	6	-0.0480557837929
4	7	-0.343131079852
5	2	0.131710784314
5	3	0.411299269001
5	4	-0.0288076645453
5	5	-0.264243243243
5	6	0.311299269001
5	7	-0.211709503467
6	2	0.149215686275
6	3	0.057427616379
6	4	-0.108722180255
6	5	0.961924631637
6	6	-0.336315082018
6	7	0.633114671829
7	2	0.0793529411765
7	3	0.0957889155551
7	4	0.10723262832199
7	5	-1.0
7	6	-0.0509950383788
7	7	-0.0509950383788
8	2	0.0800735294117
8	3	-0.0740841014532
8	4	0.192705910498
8	5	0.0117118723394
8	6	-0.00817279626396
8	7	-0.0348373627101
9	2	0.0759019607843
9	3	0.110902593897
9	4	-0.118922546456
9	5	0.208396806219
9	6	-0.202571264006
9	7	0.195238289928
10	2	0.166612745098
10	3	0.160712281096
10	4	0.0703603854106
10	5	0.0270621322158
10	6	-0.398282251768
10	7	0.582754587325
11	2	0.138924019608
11	3	0.0984464707869
11	4	0.0466051755061
11	5	-0.0735513721268
11	6	-0.276116740874
11	7	0.349771856178
12	2	0.134
12	3	-0.356489124262
12	4	0.798157041416
12	5	-0.0405857310792
12	6	0.00568634681963
12	7	0.00134849004599
13	2	0.0788970588235
13	3	0.856621999148
13	4	-0.338383065545
13	5	0.704629558246
13	6	0.021573216648
13	7	0.0229438523093
14	2	0.131343137255
14	3	0.12534035883
14	4	-0.331014007508
14	5	0.743186705768
14	6	0.0161163698352
14	7	-0.0446904559547
15	2	0.128254901961
15	3	-0.0588047181529
15	4	0.060139567706
15	5	-0.091834722154
15	6	-0.0319787170509
15	7	0.203959729662
16	2	0.158397058824
16	3	-0.0229957752535
16	4	-0.329596064216
16	5	0.61560001545
16	6	0.0153121600785
16	7	-1.0
17	2	0.0790588235294
17	3	-0.0494966957246
17	4	-0.44971879676
17	5	1.13396624473
17	6	-0.191420882078
17	7	-0.253243489247
18	2	0.173762254902
18	3	-0.392101834219
18	4	0.675700741963
18	5	-0.336744357666
18	6	0.603549308312
18	7	-0.344327131012
19	2	0.161291666667
19	3	-0.0432078154948
19	4	-0.109769810394
19	5	0.220607450856
19	6	0.0161764181129
19	7	0.078658129762
20	2	0.121475490196
20	3	-0.0668231630929
20	4	0.171565241192
20	5	0.0184122110228
20	6	-0.00560404627444
20	7	0.0126115041525
21	2	0.170242647059
21	3	0.245417326429
21	4	0.0102743256399
21	5	0.270515407814
21	6	0.0070539144257
21	7	0.00725662358731
22	2	0.149848039216
22	3	0.1222604286
22	4	0.9230026298563
22	5	-0.17333857207
22	6	-0.27174459186
22	7	0.340810770493
23	2	0.0800735294117
23	3	0.912770411724
23	4	0.33249717798
23	5	-1.0
23	6	-1.0
23	7	-0.605949549151
24	2	0.167455882353
24	3	0.862839947127
24	4	0.140750809061
24	5	-0.14426426699
