hour	day	value
0	2	0.116578431373
0	3	0.137303469477
0	4	0.0353253734111
1	2	0.11787254902
1	3	0.370072462484
1	4	-1.0
2	2	0.184004901961
2	3	0.0366362721296
2	4	0.22488612186
3	2	0.170286764706
3	3	-0.0177470946388
3	4	-0.0280760429502
4	2	0.159352941176
4	3	0.236833979002
4	4	-0.0766253957806
5	2	0.0728578431372
5	3	-1.0
5	4	inf
6	2	0.126593137255
6	3	0.307548642897w
6	4	-0.452237949727
7	2	0.14225
7	3	-0.292352548139
7	4	0.682081545065
8	2	0.194009803922
8	3	0.285899056837
8	4	-0.0991139641064
9	2	0.129049019608
9	3	0.271646404898
9	4	0.0736524706653
10	2	0.169620098039
10	3	0.266445260153
10	4	0.0501242178873
11	2	0.126867647059
11	3	0.0624929258631
11	4	-1.0
12	2	0.166629901961
12	3	-0.0263017040716
12	4	-0.342656985069
13	2	0.138147058824
13	3	0.847692235383
13	4	0.018569629752
14	2	0.160389705882
14	3	0.0864292274208
14	4	-0.0622068853711
15	2	0.166137254902
15	3	-0.0691821645704
15	4	0.174864299555
16	2	0.0
16	3	1.00358613669
16	4	0.0402198639706
17	2	0.134441176471
17	3	-0.0613916568146
17	4	0.173099415204
18	2	0.133029411765
18	3	0.0650772265793
18	4	0.0190982810416
19	2	0.075294117647
19	3	0.944631124932
19	4	-0.340202197349
20	2	0.127191176471
20	3	0.277777777778
20	4	0.1887595946
21	2	0.17031127451
21	3	-0.407035545053
21	4	0.892417609648
22	2	0.070387254902
22	3	0.171101895052
22	4	-0.0386838157539
23	2	0.174031862745
23	3	0.0530522910023
23	4	-0.0728696005782
24	2	0.137485294118
24	3	0.0585718553928
24	4	-0.111599078757
25	2	0.185286764706
25	3	0.0942709236369
25	4	-0.00325946716774
26	2	0.160987745098
26	3	0.965418215165
26	4	-0.364193362229
27	2	0.134254901961
27	3	0.120030368954
27	4	0.0435134007716
28	2	0.128
28	3	-1.0
28	4	inf
29	2	0.172892156863
29	3	0.12517235436
29	4	0.155312168907
30	2	0.172713235294
30	3	0.0472576792219
30	4	-0.0638111586003
31	2	0.178779411765
31	3	inf
31	4	-0.40006822486
32	2	0.134352941176
32	3	0.112184145141
32	4	0.873461473614
33	2	0.184843137255
33	3	1.01213829738
33	4	0.0118450761302
34	2	0.0774901960784
34	3	0.0786349093492
34	4	0.071663041329
35	2	0.133102941176
35	3	0.04919181425
35	4	0.0302245250432
36	2	0.136946078431
36	3	-0.0108394252583
36	4	-0.0610091743122
37	2	0.147120098039
37	3	-0.40456529874
37	4	0.661555220379
38	2	0.161107843137
38	3	0.190540639941
38	4	-0.0360324737109
39	2	0.0
39	3	-0.464027240441
39	4	-1.0
40	2	0.0675637254902
40	3	-0.0621239716133
40	4	-0.33147624851
41	2	0.126764705882
41	3	-0.345960799709
41	4	0.0393569131833
42	2	0.164026960784
42	3	0.0893175370316
42	4	-1.0
43	2	0.111387254902
43	3	0.0541941829421
43	4	0.0640835965718
44	2	0.0988431372549
44	3	0.0550750815104
44	4	0.0829573316698
45	2	0.0796470588235
45	3	0.288422593216
45	4	-0.160575360921
46	2	0.0397205882353
46	3	1.18273260687
46	4	0.232313534732
47	2	0.0562941176471
47	3	0.0884151630811
47	4	0.0249058558645
48	2	0.105860294118
48	3	-0.129621470793
48	4	0.210047877165
49	2	0.0341911764706
49	3	0.167827155437
49	4	0.157518632179
50	2	0.0846911764706
50	3	0.00447317840321
50	4	0.149114567025
51	2	0.113357843137
51	3	inf
51	4	0.64710674305
52	2	0.0602352941176
52	3	0.0508834958574
52	4	0.134584525221
53	2	0.085375
53	3	0.146445221445
53	4	0.0340229417648
54	2	0.107107843137
54	3	-0.0966117556188
54	4	0.01511090649
55	2	0.105191176471
55	3	0.179892783171
55	4	-0.324670854488
56	2	0.128227941176
56	3	1.15026119021
56	4	0.585409422189
57	2	0.0504901960784
57	3	0.201604449674
57	4	0.219640727092
58	2	0.0789460784314
58	3	-0.565609317299
58	4	1.04119801203
59	2	0.0945269607843
59	3	1.14327648868
59	4	-0.173482032218
60	2	0.0933725490196
60	3	0.0668636482141
60	4	-0.0349288064905
61	2	0.0603529411765
61	3	inf
61	4	-0.279629667064
62	2	0.0660343137255
62	3	-0.350496323985
62	4	1.13853952283
